match id,bowler,bowler_id,bowler_details,is_bowler_captain,is_bowler_keeper,inning,runs,wicket_count,balls_bowled,economy,maiden,dots,Fours,Sixes,wides,noballs,match_dt,average_economy,bowling_average,bowling_strike_rate,average_wides_per_ball,average_noballs_per_ball
8638034,BV Ss,6718396,NZ:Right-hand bat:Right-arm medium-fast:,0,0,1,21,0,12,10.5,0,3,1,1,3,1,01-01-2021,0,0,0,0,0
8638034,HK Bt,1585464,NZ:Left-hand bat:Right-arm medium-fast:,0,0,1,34,1,24,8.5,0,7,3,1,2,0,01-01-2021,0,0,0,0,0
8638034,JS Nm,2486896,NZ:Left-hand bat:Right-arm medium-fast:,0,0,1,23,2,24,5.75,0,12,1,1,0,0,01-01-2021,0,0,0,0,0
8638034,LV vn Bk,3083667,NED:Right-hand bat:Right-arm medium-fast:,0,0,1,31,1,24,7.75,0,9,4,0,2,0,01-01-2021,0,0,0,0,0
8638034,PF Yd,4950294,NZ:Right-hand bat:Legbreak googly:,0,0,1,21,1,24,5.25,0,8,0,0,1,0,01-01-2021,0,0,0,0,0
8638034,R Ra,6718382,NZ:Left-hand bat:Slow left-arm orthodox:,0,0,1,16,1,12,8,0,3,2,0,1,0,01-01-2021,0,0,0,0,0
8638034,BG Rl,4950364,NZ:Right-hand bat:Right-arm medium:,0,0,2,27,0,12,13.5,0,3,2,2,0,0,01-01-2021,0,0,0,0,0
8638034,BR Hn,3834305,NZ:Right-hand bat:Right-arm medium-fast:,0,0,2,7,0,6,7,0,2,1,0,0,0,01-01-2021,0,0,0,0,0
8638034,FL Wr,7543647,NZ:Left-hand bat:Slow left-arm orthodox:,0,0,2,29,0,24,7.25,0,9,2,1,0,0,01-01-2021,0,0,0,0,0
8638034,JG Wr,3566240,NZ:Right-hand bat:Right-arm offbreak:,0,0,2,31,0,18,10.33,0,1,1,2,0,0,01-01-2021,0,0,0,0,0
8638034,SC Kn,3776849,NZ:Right-hand bat:Right-arm fast-medium:,0,0,2,21,1,24,5.25,0,13,1,1,0,0,01-01-2021,0,0,0,0,0
8638034,ZN Gn,6718340,NZ:Right-hand bat:Right-arm medium:,0,0,2,30,0,12,15,0,1,4,1,1,0,01-01-2021,0,0,0,0,0
8588005,BJ Cg,1612610,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,8,0,6,8,0,1,1,0,0,0,01-01-2021,0,0,0,0,0
8588005,CJ Gn,5509524,AUS:Right-hand bat:Right-arm offbreak:,0,0,1,36,0,18,12,0,1,2,2,0,0,01-01-2021,0,0,0,0,0
8588005,CP Tn,3876613,AUS:Right-hand bat:Right-arm medium-fast:,0,0,1,30,1,18,10,0,7,2,2,1,0,01-01-2021,0,0,0,0,0
8588005,DR Ss,5788320,AUS:Right-hand bat:Left-arm fast-medium:,0,0,1,30,1,24,7.5,0,8,1,1,1,0,01-01-2021,0,0,0,0,0
8588005,N Mw,5497274,AUS:Right-hand bat:Right-arm medium-fast:,0,0,1,41,3,24,10.25,0,8,3,2,1,1,01-01-2021,0,0,0,0,0
8588005,T Sa,8193310,AUS:Right-hand bat:Legbreak:,0,0,1,17,1,12,8.5,0,6,0,2,0,0,01-01-2021,0,0,0,0,0
8588005,Id Wm,1594319,PAK:Left-hand bat:Slow left-arm orthodox:,0,0,2,34,1,18,11.33,0,4,6,0,1,0,01-01-2021,0,0,0,0,0
8588005,KW Rn,1905847,AUS:Right-hand bat:Right-arm fast-medium:,0,0,2,14,0,12,7,0,4,2,0,0,0,01-01-2021,0,0,0,0,0
8588005,M Py,7620346,AUS:Left-hand bat:Right-arm fast-medium:,0,0,2,33,1,12,16.5,0,2,4,2,0,0,01-01-2021,0,0,0,0,0
8588005,Md Ni,181404,AFG:Right-hand bat:Right-arm offbreak:,0,0,2,10,0,6,10,0,0,1,0,0,0,01-01-2021,0,0,0,0,0
8588005,P Hu,8339701,AUS:Right-hand bat:Legbreak googly:,0,0,2,20,0,18,6.67,0,4,1,0,1,0,01-01-2021,0,0,0,0,0
8588005,W Sd,7537067,AUS:Right-hand bat:Right-arm medium-fast:,0,0,2,5,0,6,5,0,4,1,0,0,0,01-01-2021,0,0,0,0,0
8587837,JD Wh,3995991,AUS:Right-hand bat:Right-arm medium-fast:,0,0,1,10,0,18,3.33,0,11,1,0,0,0,02-01-2021,0,0,0,0,0
8587837,JJ By,4967738,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,9,0,6,9,0,0,0,0,1,0,02-01-2021,0,0,0,0,0
8587837,L Gy,2535420,ENG:Right-hand bat:Right-arm medium-fast:,0,0,1,39,1,24,9.75,0,2,2,1,2,0,02-01-2021,0,0,0,0,0
8587837,MP Kn,5419546,AUS:Left-hand bat:Slow left-arm orthodox:,0,0,1,16,0,6,16,0,1,2,0,1,0,02-01-2021,0,0,0,0,0
8587837,MT Se,3890984,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,33,4,24,8.25,0,7,3,1,0,0,02-01-2021,0,0,0,0,0
8587837,Mb Ur Rn,6818776,AFG:Right-hand bat:Right-arm offbreak:,0,0,1,28,2,24,7,0,11,1,2,1,0,02-01-2021,0,0,0,0,0
8587837,XC Bt,7353828,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,30,1,18,10,0,2,2,0,0,1,02-01-2021,0,0,0,0,0
8587837,BD Mi,7455818,ITA:Right-hand bat:Right-arm offbreak:,0,0,2,22,0,18,7.33,0,3,0,1,0,0,02-01-2021,0,0,0,0,0
8587837,BJ Ds,4756982,AUS:Left-hand bat:Left-arm fast-medium:,0,0,2,45,2,23,11.74,0,8,2,4,0,0,02-01-2021,0,0,0,0,0
8587837,CR Be,3200756,WI:Right-hand bat:Right-arm fast-medium:,0,0,2,19,1,12,9.5,0,3,1,0,4,0,02-01-2021,0,0,0,0,0
8587837,DT Cn,34061,AUS:Right-hand bat:Right-arm fast-medium:,0,0,2,35,2,18,11.67,0,4,3,1,2,0,02-01-2021,0,0,0,0,0
8587837,JM Bd,1506077,AUS:Right-hand bat:Right-arm fast-medium:,0,0,2,26,1,24,6.5,0,12,4,0,0,0,02-01-2021,0,0,0,0,0
8587837,SJ Oe,49496,AUS:Right-hand bat:Slow left-arm orthodox:,0,0,2,14,0,18,4.67,0,8,1,0,0,0,02-01-2021,0,0,0,0,0
8638041,AK Kn,2690498,NZ:Right-hand bat:Slow left-arm orthodox:,0,0,1,29,1,24,7.25,0,7,2,1,0,0,02-01-2021,0,0,0,0,0
8638041,JA Dy,3834375,NZ:Right-hand bat:Right-arm fast-medium:,1,0,1,35,0,24,8.75,0,10,3,1,4,0,02-01-2021,0,0,0,0,0
8638041,MB Bn,4195827,NZ:Right-hand bat:Right-arm medium:,0,0,1,35,3,24,8.75,0,10,2,2,3,0,02-01-2021,0,0,0,0,0
8638041,MJ Mn,2236086,NZ:Left-hand bat:Left-arm fast-medium:,0,0,1,29,1,24,7.25,0,8,3,0,1,0,02-01-2021,0,0,0,0,0
8638041,MG Rn,2666705,NZ:Right-hand bat:Left-arm wrist-spin:,0,0,1,19,2,24,4.75,0,7,0,0,0,0,02-01-2021,0,0,0,0,0
8638041,BR Hn,3834305,NZ:Right-hand bat:Right-arm medium-fast:,0,0,2,16,0,16,6,0,7,2,0,1,0,02-01-2021,7,0,0,0,0
8638041,FL Wr,7543647,NZ:Left-hand bat:Slow left-arm orthodox:,0,0,2,15,0,12,7.5,0,3,2,0,0,0,02-01-2021,7.25,0,0,0,0
8638041,JG Wr,3566240,NZ:Right-hand bat:Right-arm offbreak:,0,0,2,20,0,18,6.67,0,6,2,0,0,0,02-01-2021,10.333333333333334,0,0,0,0
8638041,MJ Fr,7907458,NZ:Right-hand bat:Right-arm medium-fast:,0,0,2,35,1,24,8.75,0,13,2,1,4,1,02-01-2021,0,0,0,0,0
8638041,SC Kn,3776849,NZ:Right-hand bat:Right-arm fast-medium:,0,0,2,45,2,24,11.25,0,10,6,1,2,0,02-01-2021,5.25,21,24,0,0
8638041,ZN Gn,6718340,NZ:Right-hand bat:Right-arm medium:,0,0,2,17,3,24,4.25,0,11,1,0,0,0,02-01-2021,15,0,0,0.083333333,0
8587921,B Se,3731307,AUS:Left-hand bat:Right-arm fast:,0,0,1,25,3,24,6.25,0,15,1,2,1,0,02-01-2021,0,0,0,0,0
8587921,GJ Ml,2275195,AUS:Right-hand bat:Right-arm offbreak:,1,0,1,13,1,12,6.5,0,5,2,0,0,0,02-01-2021,0,0,0,0,0
8587921,LC Hr,6308098,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,27,0,24,6.75,0,7,2,0,0,0,02-01-2021,0,0,0,0,0
8587921,LR Ms,7877232,AUS:Right-hand bat:Right-arm fast:,0,0,1,23,0,12,11.5,0,2,2,1,0,1,02-01-2021,0,0,0,0,0
8587921,SL Rd,2337117,AUS:Right-hand bat:Left-arm medium-fast:,0,0,1,40,1,24,10,0,7,2,2,4,0,02-01-2021,0,0,0,0,0
8587921,Zr Kn,4985546,AFG:Left-hand bat:Left-arm wrist-spin:,0,0,1,33,0,24,8.25,0,7,2,2,0,0,02-01-2021,0,0,0,0,0
