match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15
9272619,Me Ss,33949,4003390.0:7960994.0:3901078.0:2669316.0:3737103.0:5469092.0:1829491.0:5419532.0:4012203.0:6308098.0:2656541.0,Ht Hs,33928,5843200.0:4223883.0:4655384.0:6249256.0:2161599.0:3459623.0:8497866.0:4767832.0:4238975.0:5788418.0:6732004.0,33928,Ht Hs,field,Be Ol Ht,Hobart,09-01-2023,night match,Bg Bh Le,2022/23,6348,0.6666666666666666,1,167.93333333333334,60,154.1153846153846
9086958,Na,209,5836452.0:8246468.0:7500324.0:3065502.0:3633503.0:3377359.0:1547993.0:3876760.0:4176661.0:2311574.0:7488753.0,Si La,69,7200598.0:4403531.0:3260564.0:2420760.0:2398346.0:3061225.0:5490666.0:4365878.0:5786836.0:3865077.0:7968225.0,209,Si La,field,GA Sm Sh Gg Va,Geelong,16-10-2022,day/night match,Si La tr of Aa,2022/23,3961,0.1428571428571428,0.2079207920792079,141.88888888888889,0,142.83333333333334
9433654,Gn,7573,5164844.0:8110185.0:2979857.0:1722048.0:2707431.0:3834361.0:2336487.0:5161652.0:3212292.0:8339701.0:5192830.0,St,9701,6139370.0:7694581.0:3294444.0:3239102.0:4817000.0:5288226.0:8211328.0:3252395.0:2850868.0:74367.0:9344117.0,9701,St,field,Sa Gs Cf,Cardiff,21-06-2023,day/night match,Vy Bt,2023,4521,0.6666666666666666,0.3442622950819672,178.8,0,155.73333333333332
9097248,Ks,22784,3496933.0:4167673.0:4160316.0:1863889.0:310883.0:2667244.0:2294837.0:4239794.0:3802378.0:4168086.0:4817014.0,Ds,22763,3399745.0:4898074.0:3782225.0:2252452.0:2231907.0:3490087.0:7497013.0:4888260.0:3062079.0:6639674.0:3747484.0,22763,Ks,bat,St Gs Pk Pt Eh,Port Elizabeth,08-02-2022,day match,CA T0 Ce,2021/22,1224,0.5,0.2592592592592592,138,0,142.5
9097234,Ws,23841,4166882.0:3009215.0:1963443.0:3252927.0:4171859.0:3009334.0:6665462.0:4875086.0:2295642.0:6845950.0:6816718.0,Ts,23750,2654014.0:2667223.0:3406717.0:3057312.0:4159644.0:4888218.0:2259739.0:4160267.0:328607.0:2659222.0:2654028.0,23841,Ts,field,St Gs Pk Pt Eh,Port Elizabeth,07-02-2022,day match,CA T0 Ce,2021/22,1224,0.1666666666666666,1,155.8,100,
9516555,Rl Cs Be,30393,1776627.0:313809.0:8117990.0:2275195.0:5972868.0:210328.0:7586970.0:5490666.0:2157770.0:5444718.0:6586824.0:2733380.0,Rn Rs,30428,8058959.0:2162782.0:7833195.0:2981614.0:4690188.0:8228429.0:184960.0:9009482.0:2740408.0:1945397.0:3068547.0:3011735.0,30393,Rn Rs,field,M Cy Sm Bu,Bengaluru,23-04-2023,day/night match,In Pr Le,2023,4794,0.9411764705882352,1.4878048780487805,184.53333333333333,66.67,185.33333333333331
9587129,St La Ks,36112,2331475.0:1626526.0:2398346.0:2742837.0:9398906.0:4690230.0:2097017.0:7459647.0:8464343.0:4068133.0:8339701.0,Ja Ts,36098,4690258.0:1749075.0:2436944.0:1613898.0:3150720.0:1594319.0:5744836.0:4690104.0:5509524.0:2036649.0:3023383.0,36098,Ja Ts,field,Pe Sm Ga,Providence,19-09-2023,night match,Cn Pr Le,2023,13915,0.8,1.9523809523809523,169.53333333333333,20,153.91666666666666
9615003,Sh Aa,34,1884973.0:2604825.0:4166882.0:4203499.0:4171859.0:4888218.0:3872756.0:4172083.0:1874081.0:3794174.0:2659222.0,Aa,27,4239038.0:3710090.0:1907163.0:4635658.0:2275097.0:6249256.0:3501889.0:2790675.0:5788418.0:7866039.0:8193310.0,27,Sh Aa,bat,Kd Dn,Durban,03-09-2023,day match,Aa tr of Sh Aa,2023/24,2127,0.4210526315789473,0.2592592592592592,190.13333333333333,0,147
9185406,Rl Cs Be,30393,1776627.0:313809.0:5765934.0:2275195.0:5972868.0:210328.0:8117990.0:5490666.0:2733380.0:2018001.0:6586824.0,Rn Rs,30428,8058959.0:2162782.0:2981614.0:7833195.0:4690188.0:7556051.0:184960.0:1945397.0:3011735.0:6420126.0:6347494.0,30428,Rn Rs,field,Na Mi Sm Ad,Ahmedabad,27-05-2022,night match,In Pr Le,2022,5893,0.6,1.975609756097561,170.26666666666668,66.67,155.1
9128790,Ss Hd,36014,7491294.0:7491273.0:3127354.0:4230127.0:4203499.0:1945355.0:5038018.0:2282125.0:8725709.0:5618038.0:6819238.0,Mi Is,30435,238727.0:5043310.0:5788320.0:8191868.0:6249256.0:4171859.0:7556303.0:7341900.0:4377694.0:7570107.0:6732004.0,36014,Mi Is,field,We Sm Mi,Mumbai,17-05-2022,night match,In Pr Le,2022,5004,1.4,0.5121951219512195,172.53333333333333,0,161.96666666666667
9457657,Ca Vs,40298,2263736.0:3758565.0:1613919.0:1965151.0:5771800.0:5017144.0:1934099.0:3850944.0:6528668.0:2316327.0:6931168.0,Rr Rs,35790,6930580.0:2104332.0:6818622.0:3294444.0:2875368.0:8127321.0:5736016.0:7084930.0:8938873.0:5554142.0:6486416.0,40298,Rr Rs,field,Se Ba Nl Sm Mr,Dhaka,10-02-2023,day/night match,Bh Pr Le,2022/23,14188,1.2,1,162.13333333333333,0,148.6
9837204,Bn,769,9111213.0:7655479.0:8004716.0:6751660.0:8991737.0:7655437.0:8520931.0:9413816.0:4975382.0:9301144.0:4153085.0,Ud Ab Es,202,8688952.0:9059000.0:8250115.0:2206637.0:8127279.0:8489816.0:8463783.0:7412922.0:8688868.0:8426291.0:2691688.0,202,Ud Ab Es,field,Mi Ct Gd,Kathmandu,30-10-2023,day match,Ud Ab Es tr of Nl,2023/24,24044,0,1.650487804878049,160,100,158.75
9272794,Sy Ss,33956,3535783.0:7869987.0:4002340.0:41740.0:3063696.0:8146998.0:34061.0:4756982.0:2790675.0:49496.0:7535324.0,Be Ht,33921,5786766.0:8561342.0:7870043.0:3890963.0:3114803.0:7620269.0:2633196.0:4967738.0:7353828.0:7866039.0:5419546.0,33921,Sy Ss,bat,Sy Ct Gd,Sydney,02-02-2023,night match,Bg Bh Le,2022/23,937,1.75,1,166.8,75,147.73333333333332
9489437,Mr Os,46766,4685568.0:2162782.0:1798705.0:6364588.0:4489722.0:3573723.0:3501889.0:6019306.0:8055417.0:6005838.0:8907338.0,Nn Ss,46745,1762060.0:4239038.0:6139370.0:3681957.0:6381962.0:1858961.0:4174932.0:1547993.0:1711492.0:5528116.0:3231437.0,46766,Mr Os,bat,Od Td Mr,Manchester,20-08-2023,day match,Te Hd Ms Cn,2023,538,1.1538461538461535,0.6721311475409836,150.66666666666666,0,150.56666666666666
9272535,Me Ss,33949,4003390.0:7960994.0:2669316.0:2275097.0:3901078.0:3737103.0:9070907.0:4012203.0:1945397.0:6308098.0:2656541.0,Ae Ss,33914,4239038.0:5492318.0:2286472.0:3681957.0:387778.0:8415854.0:5554254.0:4992378.0:6718844.0:5863290.0:55299.0,33949,Me Ss,bat,Ae Ol,Adelaide,31-12-2022,night match,Bg Bh Le,2022/23,930,0.6666666666666666,1.975609756097561,172.2,66.67,155.6
9586982,St Ks ad Ns Ps,38814,363047.0:3023320.0:8180682.0:6401800.0:6401198.0:232000.0:6347256.0:4160267.0:7535324.0:7921542.0:6401982.0,Bs Rs,36070,3462080.0:2436405.0:2740408.0:7550857.0:5742470.0:7761823.0:3575774.0:9071334.0:334963.0:6399210.0:6347494.0,36070,Bs Rs,field,Wr Pk Be St Ks,Basseterre,26-08-2023,night match,Cn Pr Le,2023,4045,1.8,0.3442622950819672,168.6,66.67,158.3
8844310,Aa,27,37351.0:4223883.0:4635658.0:2275195.0:1870357.0:2275097.0:1611364.0:3429236.0:2181157.0:2656541.0:2018001.0,Si La,69,7200598.0:2420760.0:5490596.0:5490582.0:5490666.0:3061225.0:2104409.0:4365878.0:3865077.0:4403573.0:7968225.0,27,Si La,field,Sy Ct Gd,Sydney,11-02-2022,night match,Si La tr of Aa,2021/22,937,1.125,1.975609756097561,140.6,100,154.71428571428572
8797081,Wt Is,41,4690258.0:2436405.0:4739552.0:4230127.0:1613926.0:5742470.0:2740408.0:4690104.0:5744850.0:3715697.0:3468870.0,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2827327.0:2083409.0:4685568.0:2022957.0:1711492.0:4507208.0:3231437.0,20,Wt Is,bat,Kn Ol Bn Bs,Bridgetown,30-01-2022,day/night match,Ed tr of Wt Is,2021/22,1406,0.6,1,166.73333333333332,40,166
9084809,Ex,7258,7671306.0:3200973.0:5406064.0:5436878.0:6364588.0:5788320.0:1499868.0:3030733.0:4460154.0:7688848.0:5404440.0,Gn,7573,2531913.0:1722048.0:5515922.0:5164844.0:2707431.0:6196280.0:3212278.0:2633196.0:3998070.0:7664957.0:1929619.0,7573,Gn,field,Sa Gs Cf,Cardiff,02-06-2022,night match,Vy Bt,2022,4521,0.7,1,157.13333333333333,50,148.15384615384616
9516576,Gt Ts,48341,1958683.0:7491224.0:4377610.0:3339160.0:2252452.0:5452754.0:2966879.0:5554254.0:3759846.0:3373285.0:8277716.0:6496482.0,Mi Is,30435,238727.0:5043310.0:7537004.0:8191868.0:3125562.0:6249256.0:8058924.0:230775.0:8041445.0:1907352.0:6732004.0:8118914.0,48341,Mi Is,field,Na Mi Sm Ad,Ahmedabad,25-04-2023,night match,In Pr Le,2023,5893,0.7333333333333333,1,163.4,0,160.06666666666666
9484488,Pr Zi,40550,8438926.0:2437021.0:8127230.0:3294444.0:2398346.0:2486896.0:393014.0:305143.0:4769470.0:9307892.0:5471948.0,Ki Ks,40564,1611364.0:1594347.0:8180570.0:8298338.0:298612.0:1594319.0:1612610.0:3216569.0:284339.0:3896801.0:2036649.0,40550,Ki Ks,field,Nl Sm Ki,Karachi,14-02-2023,night match,Pn Sr Le,2022/23,3422,1.6666666666666667,2.9047619047619047,182.9333333333333,80,173.9
9250317,Ua,251,1634709.0:3719197.0:8059372.0:7906968.0:5120674.0:6496846.0:6496776.0:7753577.0:182986.0:7753570.0:2943443.0,Pa Nw Ga,153,3086943.0:175405.0:2330873.0:2943002.0:2119928.0:3669784.0:4523364.0:8303616.0:7805244.0:7857912.0:7805188.0,153,Pa Nw Ga,field,Bo Ac Cb,Bulawayo,12-07-2022,day match,Ua tr of Ze,2022,3226,0,1,127,0,
